lake_id,year,observed_cvht,pred_pcr,split
SP,2024,19.5,20.648977681037675,LOOCV
TR,1981,39.5,50.80277949895124,LOOCV
TR,1982,67.5,59.84601451499662,LOOCV
TR,1983,63,63.40503334940362,LOOCV
TR,1984,58.5,55.605808937595434,LOOCV
TR,1985,56.5,48.9040313680632,LOOCV
TR,1986,63,55.090553074707245,LOOCV
TR,1987,56.5,55.833334906900575,LOOCV
TR,1988,68.66666666666667,55.906782103284705,LOOCV
TR,1989,61.5,59.9797194077531,LOOCV
TR,1990,53,55.531060231405036,LOOCV
TR,1991,64.66666666666667,60.469160422377186,LOOCV
TR,1992,69.66666666666667,61.674081735109255,LOOCV
TR,1993,58.5,63.24304511890353,LOOCV
TR,1994,55,58.82546581543028,LOOCV
TR,1995,60.5,69.05708460221192,LOOCV
TR,1996,69.16666666666667,63.74273025675429,LOOCV
TR,1997,67.5,63.023036992828175,LOOCV
TR,1998,44.83333333333333,52.83191262548607,LOOCV
TR,1999,60,53.12346362956664,LOOCV
TR,2000,55,47.70567708707869,LOOCV
TR,2001,49,56.61752684862881,LOOCV
TR,2002,64.5,59.67316529559372,LOOCV
TR,2003,55.5,63.934758624670366,LOOCV
TR,2004,56.333333333333336,56.846876286792785,LOOCV
TR,2005,53.83333333333333,62.447733035142505,LOOCV
TR,2006,57.5,60.464115627993294,LOOCV
TR,2007,52.33333333333333,56.86275751858682,LOOCV
TR,2008,49.16666666666667,57.34904895114553,LOOCV
TR,2009,50.666666666666664,56.67532014442373,LOOCV
TR,2010,47.833333333333336,52.85743145686068,LOOCV
TR,2011,61,61.56771663804213,LOOCV
TR,2012,45.5,49.50493830004927,LOOCV
TR,2013,63,63.966605579911956,LOOCV
TR,2014,70.33333333333333,66.50117618064003,LOOCV
TR,2015,50,59.37385364425144,LOOCV
TR,2016,61.33333333333333,52.968664915097975,LOOCV
TR,2017,64,55.588813844612844,LOOCV
TR,2018,64.5,61.70388308868204,LOOCV
TR,2019,68.5,65.35416811339348,LOOCV
TR,2020,71,62.328682079482576,LOOCV
TR,2021,53,55.803969480674176,LOOCV
TR,2022,51.33333333333333,57.409528351455464,LOOCV
TR,2023,65,58.62584636034649,LOOCV
TR,2024,46.5,59.06777712128556,LOOCV
