sampledate,depth,wtemp,o2
12/3/82,4,2.7,11.9
12/3/82,5,2.7,11.8
12/3/82,6,2.7,11.8
12/3/82,7,2.7,11.8
12/3/82,8,2.7,11.8
12/3/82,9,2.7,11.8
12/3/82,10,2.7,11.8
12/3/82,11,2.7,11.8
12/3/82,12,2.7,11.8
12/3/82,13,2.7,11.7
12/3/82,14,2.8,11.7
12/3/82,15,2.8,11.7
12/3/82,16,2.8,11.7
12/3/82,17,2.8,11.7
12/3/82,18,2.8,11.7
12/3/82,19,2.8,11.7
1/12/83,0,0.1,15
1/12/83,1,1.1,14.1
1/12/83,2,2,13.2
1/12/83,3,2.2,12.5
1/12/83,4,2.3,12.1
1/12/83,5,2.4,12.1
1/12/83,6,2.5,12
1/12/83,7,2.6,11.8
1/12/83,8,2.7,11.6
1/12/83,9,2.8,11.5
1/12/83,10,2.8,11.1
1/12/83,11,2.9,11
1/12/83,12,3,10.6
1/12/83,13,3.1,9.9
1/12/83,14,3.2,9.6
1/12/83,15,3.3,8.8
1/12/83,16,3.4,8.4
1/12/83,17,3.4,7.8
1/12/83,18,3.5,6.4
1/12/83,19,3.7,2.4
2/17/83,0,0.5,13.2
2/17/83,1,1.2,12.4
2/17/83,2,2,12.1
2/17/83,3,2.3,11.6
2/17/83,4,2.4,11.3
2/17/83,5,2.6,11
2/17/83,6,2.7,10.7
2/17/83,7,2.8,10.4
2/17/83,8,2.9,10.1
2/17/83,9,3,9.6
2/17/83,10,3,9.4
2/17/83,11,3.1,9.1
2/17/83,12,3.2,8.5
2/17/83,13,3.2,7.6
2/17/83,14,3.3,7.4
2/17/83,15,3.4,7
2/17/83,16,3.5,6.8
2/17/83,17,3.7,0.6
2/17/83,18,3.9,0.5
2/17/83,19,4.1,0.2
2/17/83,20,4.2,0.1
3/23/83,0,0.6,14.6
3/23/83,1,1.5,12.2
3/23/83,2,2.6,11.6
3/23/83,3,2.8,11.1
3/23/83,4,2.9,10.7
3/23/83,5,2.9,10.5
3/23/83,6,3,9.8
3/23/83,7,3.1,9.1
3/23/83,8,3.2,9
3/23/83,9,3.2,8.6
3/23/83,10,3.3,8
3/23/83,11,3.3,7.3
3/23/83,12,3.3,6.5
3/23/83,13,3.4,5.9
3/23/83,14,3.5,5.6
3/23/83,15,3.6,5.2
3/23/83,16,3.7,5
3/23/83,17,3.8,3.1
3/23/83,18,3.9,1.5
3/23/83,19,4,0.5
3/23/83,20,4.2,0.2
5/10/83,0,8.2,10.9
5/10/83,1,8.1,10.9
5/10/83,2,8.1,10.9
5/10/83,3,8.1,10.9
5/10/83,4,7.8,10.9
5/10/83,5,7.7,10.9
5/10/83,6,7.7,10.8
5/10/83,7,7.6,10.8
5/10/83,8,7.2,10.8
5/10/83,9,6.9,10.7
5/10/83,10,6.7,10.5
5/10/83,11,6.5,10.3
5/10/83,12,6.4,10.1
5/10/83,13,6.4,10.1
5/10/83,14,6.4,10.1
5/10/83,15,6.3,10
5/10/83,16,6.3,10
5/10/83,17,6.2,9.9
5/10/83,18,6.2,9.9
5/10/83,19,6.2,9.9
5/10/83,20,6.2,9.7
5/26/83,0,11.6,10.6
5/26/83,1,11.6,10.6
